month,revenue
NULL,13598.020200000003
1,23.92
2,947.26
3,304.184
4,75.88
5,2718.76
6,403.546
7,671.93
8,2282.3640000000005
9,3919.1220000000003
10,147.168
11,2754.4755
12,763.31
